,,,,,,link,,,,,,,,,,
76,14,750,6LDB,1.125112511,5,76.14,,75.15,6,15.4,6,,,,,
15,40,900,6LDB,1.350135014,5,15.40,,76.15,6,15.4,6,,,,,
17,40,900,6LDB,1.350135014,5,17.40,,12.75,6,75.15,6,,,,,
41,16,900,6LDB,1.350135014,5,41.16,,13.75,6,75.15,6,,,,,
27,37,950,6LDB,1.425142514,5,27.37,,77.14,6,14.33,4,,,,,
29,37,950,6LDB,1.425142514,5,29.37,,77.14,6,14.43,6,,,,,
36,28,950,6LDB,1.425142514,5,36.28,,24.27,6,27.35,2,,,,,
9,36,1000,6LDB,1.500150015,5,9.36,,24.27,6,27.37,6,,,,,
30,36,1000,6LDB,1.500150015,5,30.36,,26.27,6,27.35,2,,,,,
37,8,1000,6LDB,1.500150015,5,37.8,,26.27,6,27.37,6,,,,,
14,43,1100,6LDB,1.650165017,5,14.43,,28.25,6,25.5,2,,,,,
12,43,1150,6LDB,1.725172517,5,12.43,,28.25,6,25.22,4,,,,,
2,41,1200,6LDB,1.800180018,5,2.41,,29.25,6,25.5,2,,,,,
40,3,1200,6LDB,1.800180018,5,40.3,,29.25,6,25.22,4,,,,,
1,41,1300,6LDB,1.95019502,5,1.41,,76.14,6,14.33,4,,,,,
,,,,,,,,76.14,6,14.43,6,,,,,
,,,,,,,,15.4,6,40.3,6,,,,,
,,,,,,,,17.4,6,40.3,6,,,,,
,,,,,,,,41.16,6,16.77,6,,,,,
,,,,,,,,27.37,6,37.8,6,,,,,
,,,,,,,,29.37,6,37.8,6,,,,,
,,,,,,,,36.28,6,28.35,2,,,,,
,,,,,,,,36.28,6,28.25,6,,,,,
,,,,,,,,9.36,6,36.28,6,,,,,
,,,,,,,,30.36,6,36.28,6,,,,,
,,,,,,,,37.8,6,8.11,6,,,,,
,,,,,,,,2.41,6,41.16,6,,,,,
,,,,,,,,40.3,6,3.5,4,,,,,
,,,,,,,,1.41,6,41.16,6,,,,,
,,,,,,,,20.49,5,49.51,2,,,,,
,,,,,,,,19.49,5,49.51,2,,,,,
,,,,,,,,7.19,4u,19.21,4,,,,,
