(0.9257245659828186, 0.00026314222486689687)
(0.19731155922207036, 0.23777344317683519)

(0.9257245659828186, 0.00026314222486689687)
(0.19731155922207036, 0.23777344317683519)

(0.7500000596046448, -9.106917104872991e-07)
(0.19738347344610374, 0.15919416402346259) 

(0.7500000596046448, -9.106917104872991e-07)
(0.19738347344610374, 0.15919416402346259)

(1.0, 1.0)
(0.44342467876076574, 5.5511151231257827e-17)



(0.9797130227088928, 0.2560946047306061)
(0.37573235970322816, 0.19782246004506324)

(0.9797130227088928, 0.2560946047306061)
(0.37573235970322816, 0.19782246004506324)

(0.75, -1.1383646096874145e-06)
(0.086832998658173136, 0.03763697881130245)

(0.75, -1.1383646096874145e-06)
(0.086832998658173136, 0.03763697881130245)

(0.8417423963546753, 0.060387976467609406)
(0.45806655179148137, 0.037779557189410402)


(0.9449208974838257, 0.001784633961506188)
(0.38727830766872706, 0.26961066519940613)

(0.9451003670692444, 0.001825939049012959)
(0.38758297554152227, 0.26929802637982231)

(0.7499999403953552, -1.1383646096874145e-06)
(0.26622504938083974, 0.079231508345391236)

(0.7499999403953552, -1.1383646096874145e-06)
(0.26622504938083974, 0.079231508345391236)

(0.8146907091140747, 0.04102238267660141)
(0.53692070066478825, 0.26818486965236221)



(0.9861747622489929, 0.5816954374313354)
(0.33513399717369802, 0.28491037592444163)

(0.9861747622489929, 0.5816954374313354)
(0.33513399717369802, 0.28491037592444163)

(0.7499999403953552, -1.1383646096874145e-06)
(0.41894522501970499, 0.29452060010374065)

(0.7499999403953552, -1.1383646096874145e-06)
(0.41894522501970499, 0.29452060010374065)

(0.8635431528091431, 0.16282078623771667)
(0.044943753875221079, 0.080982964455187226)
