link_id,tail,head,length
60461,15062,15060,33
1812,873,874,42
45799,17809,4579,42
20384,12542,11849,317
20385,11849,20157,580
70352,26583,24449,174
4009,1997,1998,277
26956,17015,17016,96
26953,17014,17015,79
26951,17013,17014,82
26950,17012,17013,60
43259,3275,3274,63
39762,874,873,42
18435,20622,10518,586
18436,10518,20623,405
3323,6229,1676,56
3325,1676,8078,168
27800,21843,17850,197
3327,1724,1677,199
3329,1678,5956,203
3971,19930,1980,90
1771,851,866,55
3970,1980,10412,142
1778,856,857,61
41146,1785,1784,120
33234,22287,22288,38
33236,22288,22289,20
40944,1679,1678,66
33239,22289,22290,157
40946,1680,1679,246
40947,1681,1680,69
40940,1677,1676,54
40941,6229,1677,52
41149,8041,1785,191
41148,10164,1784,69
30761,21810,20168,270
30760,20168,20171,578
30767,20172,20173,51
30768,20173,20174,121
1150,505,1262,631
1152,21971,505,293
1178,516,21971,109
15115,8455,17874,242
15114,8454,8455,8
15110,8452,8453,254
15112,8453,8454,0
29900,19432,19433,1499
29902,19433,19434,77
29905,19436,19437,71
31210,20617,20618,62
31211,20618,20619,147
31213,20619,20620,246
31216,20620,20621,336
31217,20621,20622,272
60274,14899,14896,202
25007,15366,15410,25
43489,3401,3400,359
14514,8039,8041,72
60273,14908,14896,216
428,28045,181,124
35134,24380,24361,60
60576,15178,15157,109
425,3114,180,12
31109,20843,20549,59
427,181,22100,1314
426,180,3097,409
32482,21636,21637,101
32483,24783,21636,59
32486,21639,21640,1437
32487,21643,21644,9
32488,21644,21645,13
61036,15530,15516,228
25009,15367,15410,83
43202,3248,3247,84
23252,17021,14028,66
23251,14028,14032,231
43207,3250,3249,43
43204,3249,3248,182
43209,3251,3250,52
11656,6226,11290,316
60929,15483,15435,90
4295,26603,2151,17
4296,2152,5768,9
51582,9419,8292,122
51583,9420,8292,37
24766,15204,15562,39
24764,15204,15565,124
55267,10844,10843,95
19616,11288,11285,96
55269,10845,10844,12
19615,11283,11289,85
12731,6887,7925,288
24616,15074,15100,44
24617,15074,15092,82
16000,10166,8980,34
25145,15492,15502,22
25144,15492,15496,121
25149,15496,15516,104
17605,20176,10055,54
21134,12471,20846,142
24940,15313,20433,7
2212,1106,6048,87
60786,20432,15311,29
60789,20432,15313,95
6343,17831,3393,260
25090,15445,15459,96
6345,3393,19765,27
6346,3394,17018,260
6348,17017,3394,107
11649,14596,6223,659
41161,1793,1792,70
17199,9752,9750,35
17198,9750,12419,31
66961,24449,20893,48
11647,6222,10164,244
33217,23881,22276,43
20669,12066,12067,95
20668,20201,12062,51
22822,19628,13698,300
22821,13698,19629,323
1806,869,874,41
8998,4674,7477,28
8999,4675,4676,183
8997,12402,4674,7
10770,5768,5769,203
10775,5771,11777,38
48334,6119,6118,151
48332,6118,6117,233
20447,20202,11881,46
11648,6222,6227,52
20445,11881,20203,83
14850,8286,8650,24
14857,8292,9419,122
18558,20757,10579,3
18557,10579,27922,58
14858,8292,9420,37
13241,12408,7187,62
13240,7187,12409,43
18772,10700,19676,82
18771,20164,10700,97
18774,10701,20163,166
18775,19146,10701,78
3330,1678,5957,66
15094,21783,8444,109
41153,17808,1788,66
41154,8039,1788,136
41158,1792,1791,91
18391,10495,19680,141
18392,10495,10496,21
37215,26553,26554,25
18394,10496,10497,2093
18395,10497,19677,11
18396,10691,10497,17
18397,10497,11357,100
6986,3692,6043,283
1122,844,492,84
30771,20174,20175,55
11137,5951,7924,121
14327,7960,7892,88
14326,7892,26910,66
15107,8451,8452,436
15105,8450,8451,240
15103,8449,8450,159
15100,8447,8448,123
15101,8448,8449,25
14695,8193,12410,60
17985,10267,14242,87
29912,19449,19450,54
29913,19693,19450,69
29911,19693,19449,46
29918,19456,19457,709
18089,10314,19268,360
40339,2151,1301,537
23662,19460,14283,304
23663,14283,14285,1040
23660,21838,14282,416
23661,14282,21839,762
23664,14285,19461,350
60288,14986,14908,106
15033,20157,8416,647
43200,3247,3246,8
15034,8416,20322,385
23065,13879,19631,152
23062,13877,13879,128
29624,19238,19757,223
29620,19233,19234,36
29622,19236,19436,14
29623,19438,19237,319
3613,10952,1805,67
3800,1895,1896,94
11344,11325,6066,46
11341,10690,6065,263
11342,6066,10689,264
43238,3265,3264,113
43236,3264,3263,129
43234,3263,3262,265
23241,14032,14022,226
43231,3262,3261,64
43230,3261,3260,123
24594,15060,15062,33
24597,15064,15094,179
24596,15062,15064,193
24590,15056,15058,107
24592,15058,15060,91
31395,20742,20757,46
31394,21652,20742,149
19629,17819,11295,18
19628,11294,11295,174
19620,19133,11288,230
19627,11293,19623,463
55271,10846,10845,324
19624,24361,11292,95
60861,15374,15367,201
4176,2075,2076,179
4177,2076,2077,218
4172,2074,4569,368
60868,15406,15374,19
4179,2077,10843,149
